spec,variable,coef,p_value,sig
"Time series, NO theta (prof)",dln_supply,2.73657906424709,0.2283622387549935,
"Time series, NO theta (prof)",liq_buffer,8.09292134385163,8.18932793140111e-15,***
"Time series, NO theta (prof)",L_x_dlns,-35.8905662201649,0.03221205276594482,**
"Time series, WITH theta",dln_supply,4.109593873281153,0.06609264857418454,*
"Time series, WITH theta",theta,-1.1007682840174233,0.01084950138621247,**
"Time series, WITH theta",liq_buffer,8.728935612675649,7.669966211445363e-25,***
"Time series, WITH theta",L_x_dlns,-44.39341346986238,0.011290911819247875,**
"Panel, NO theta (prof)",dln_supply,0.013364662519483622,0.9883297035802558,
"Panel, NO theta (prof)",liq_buffer,3.85460082019762,1.4761542607126284e-07,***
"Panel, NO theta (prof)",L_x_dlns,-7.446409535823484,0.29266756057591636,
"Panel, WITH theta",dln_supply,0.6411262466660264,0.49890757616543324,
"Panel, WITH theta",theta,0.5393750148610352,0.001622406446214908,***
"Panel, WITH theta",liq_buffer,4.217690735023982,7.075987533183586e-07,***
"Panel, WITH theta",L_x_dlns,-9.732272613823568,0.10664392003083684,
