date,total_supply,USDT,USDC
2020-01-01,4164162469.0,3198834653.0,516597712.0
2020-01-02,4165317677.0,3200978653.0,514892050.0
2020-01-03,5254668680.0,4288898575.0,519915526.0
2020-01-04,5309445438.0,4283023028.0,518840356.0
2020-01-05,5313639002.0,4287220841.0,518952466.0
2020-01-06,5307665901.0,4281391701.0,517973272.0
2020-01-07,5316662384.0,4285344129.0,513964831.0
2020-01-08,5295913229.0,4279309317.0,490317289.0
2020-01-09,5267101550.0,4273984481.0,469784290.0
2020-01-10,5265618826.0,4286942072.0,461732415.0
2020-01-11,5251478483.0,4288341143.0,458520665.0
2020-01-12,5226712649.0,4273319340.0,448892630.0
2020-01-13,5237537662.0,4281347850.0,449197501.0
2020-01-14,5223177049.0,4282360330.0,447171710.0
2020-01-15,5208501013.0,4278526948.0,432020884.0
2020-01-16,5226792450.0,4286133433.0,452134110.0
2020-01-17,5224192960.0,4277820758.0,448456801.0
2020-01-18,5216409706.0,4279860810.0,444757303.0
2020-01-19,5213681748.0,4277817642.0,444284972.0
2020-01-20,5218945732.0,4282607058.0,444638589.0
2020-01-21,5213140823.0,4281327773.0,444694131.0
2020-01-22,5211780488.0,4283473428.0,447471889.0
2020-01-23,5219507119.0,4282886404.0,458243977.0
2020-01-24,5207461769.0,4279582980.0,449166380.0
2020-01-25,5218377512.0,4289750201.0,449600266.0
2020-01-26,5212747889.0,4283647991.0,449476884.0
2020-01-27,5215100891.0,4285728294.0,449139167.0
2020-01-28,5205612968.0,4277424754.0,445977555.0
2020-01-29,5233041178.0,4295159219.0,446882008.0
2020-01-30,5217089947.0,4276714294.0,447850721.0
2020-01-31,5219496781.0,4277899663.0,442466921.0
2020-02-01,5215493221.0,4277278308.0,440802894.0
2020-02-02,5217125110.0,4279297792.0,438558615.0
2020-02-03,5221576809.0,4285631682.0,438330505.0
2020-02-04,5227503089.0,4291651783.0,437557126.0
2020-02-05,5213678251.0,4279687870.0,435829632.0
2020-02-06,5207120904.0,4281286726.0,426708639.0
2020-02-07,5213445935.0,4280165006.0,426671374.0
2020-02-08,5203278636.0,4283434129.0,423899681.0
2020-02-09,5207645131.0,4283445364.0,421470435.0
2020-02-10,5234937139.0,4304246879.0,426484983.0
2020-02-11,5216282014.0,4293957672.0,422144696.0
2020-02-12,5214293606.0,4288414306.0,420429610.0
2020-02-13,5209223879.0,4276982478.0,430565815.0
2020-02-14,5217805808.0,4279251913.0,429206851.0
2020-02-15,5216736574.0,4283562617.0,429538978.0
2020-02-16,5216265202.0,4282126676.0,429266918.0
2020-02-17,5225418396.0,4287194543.0,430850992.0
2020-02-18,5234468006.0,4296553112.0,430318295.0
2020-02-19,5219987909.0,4285326171.0,432640417.0
2020-02-20,5219777245.0,4282876600.0,434416693.0
2020-02-21,5217824059.0,4287659835.0,425180739.0
2020-02-22,5223786753.0,4286189910.0,424407128.0
2020-02-23,5223233490.0,4285130709.0,425934495.0
2020-02-24,5232871950.0,4294456127.0,424523238.0
