term,window,n,beta_USDT,p_USDT,beta_USDC,p_USDC,wald_p,r2
4-Week,3,273,5.219687732469665,0.03122636126318383,2.3979262991665107,0.04476721026911915,0.25701473374248707,0.44191903107007136
4-Week,5,273,3.7823682744452123,0.027929166380588732,3.2531804440412864,0.0012879929742571539,0.7773575394619037,0.45242618970988535
4-Week,10,273,2.0984767770507986,0.015293588552600114,1.5472104539442868,0.005795674358374126,0.584483175381203,0.4576278275865058
8-Week,3,273,-0.19253689718733227,0.9207515947025349,-0.6404294616016575,0.6268111736126601,0.8258384329896054,0.4902244441816185
8-Week,5,273,0.3115014245306452,0.8412469490210197,0.143723931648178,0.8718477234142794,0.9171983311096442,0.48992029689526606
8-Week,10,273,0.33618596145459206,0.6583609345466321,0.3927176466525435,0.452426863686866,0.9500767552885738,0.49210909443221373
13-Week,3,274,-0.06309657146354725,0.9679421871063801,-0.004327473459092732,0.9974872900345342,0.9816354945144622,0.1863189396977617
13-Week,5,274,-0.4730409465916217,0.5600551391671245,0.22685610987160176,0.7913239752665227,0.6412272353692084,0.18708253576904
13-Week,10,274,-1.3514523289354181,0.04116737192127182,0.4779545413163528,0.3730782499527159,0.07716696580186075,0.19982637639709855
26-Week,3,274,-1.6574905828584925,0.32702802301838396,0.3631976397609041,0.7388131603992003,0.2957454846470107,0.24693382295321853
26-Week,5,274,-0.4302491473884553,0.6149045547910564,0.01981867185125551,0.9783326134120832,0.6992638431959424,0.24494954714683692
26-Week,10,274,0.28770259489712674,0.695430465158122,-0.3402557196458806,0.39942186658274814,0.4891474055139795,0.24701029661703122
